FID;RegName;Rajon;NSettlemen;Broi_Lica;Broi_Jil;Male;Female;Age0_14;Age15_24;Age25_34;Age35_44;Age45_54;Age55_64;AgeOver65;Educ1;Educ2;Educ3;Educ4;Educ5;Area_m2;X;Y
0;Зона за отдих Шишмановски манастир;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;652,042.896044000050000;716,220.394137999970000;4,701,658.889910000400000
1;в.з. Татарски брод;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;472,283.522846999990000;709,933.138736999940000;4,701,577.646920000200000
2;Панчарево, в.з.Лавандулите;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;452,832.585534000010000;711,336.648876999970000;4,702,378.756299999500000
3;Манастир Св. Илия;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;140,829.528662000000000;715,154.742684000060000;4,706,242.957560000000000
4;Панчарево, в.з. Щъркелово гнездо;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2,055,967.524400000000000;709,588.733527999950000;4,704,445.845970000100000
5;Хидропарк Искър - Вододайна зона яз. Искър;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;101,797,727.892000000000000;712,536.138937999960000;4,704,867.665029999800000
6;м. Пасарел;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,518,576.248510000100000;708,294.324083999960000;4,707,824.824790000000000
7;с. Плана;Панчарево;С.ПЛАНА;5.000000000000000;6.000000000000000;2.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2.000000000000000;1.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;2,706,065.344300000000000;697,850.733560999970000;4,706,528.405799999800000
8;с. Железница, в.з. Звездана (Църквище);Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;251,680.427972000000000;694,341.576032000010000;4,707,703.399070000300000
9;с. Железница, в.з. Елата - Кошарите;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,196,604.894380000000000;695,605.991050999960000;4,708,232.162610000000000
10;м. Язовир Искър;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;715,462.581215000010000;707,414.865130000050000;4,710,155.819299999600000
11;с. Железница - махала Чемерник"" и ""Цареви кошари"";Панчарево;С.КЛИСУРА;5.000000000000000;5.000000000000000;3.000000000000000;2.000000000000000;2.000000000000000;0.000000000000000;1.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;869,979.907804999970000;694,496.214797000050000;4,710,865.037899999900000
12;с.Долни Пасарел, в.з. Расул;Панчарево; ;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1,106,876.141039999900000;706,413.041838999950000;4,712,175.585049999900000
