FID;КОД_СПИРКА;ИМЕ_СПИРКА;ИМЕ_СПИР00;ЛИНИЯ_BUS;ЛИНИЯ_ТВ;ЛИНИЯ_ТМ;БРОЙ;ТИП_СПИРКО;СЪСТОЯНИЕ_;ТИП_СПИР00;СЪСТОЯНИ00;X;Y;MI_PRINX
1;0002;102-РО ОУ;102-РО ОУ ПАНАЙОТ ВОЛОВ;.85.108.; ;.6.;3;ЕИТСТ;КОО;НИК БЕТА;НОВ;23.305204000000000;42.735750000000003;2.000000000000000
2;0003;БЛ. 411 Ж.К. МЛАДОСТ-4;112-ТИ ПОЩЕНСКИ КЛОН;.113.213.N1.; ; ;2;ЕИТ600;КОО;НЯМА; ;23.380358000000001;42.636958999999997;3.000000000000000
3;0004;БЛ. 411 Ж.К. МЛАДОСТ-4;112-ТИ ПОЩЕНСКИ КЛОН;.113.213.305.N1.; ; ;3;ЕИТ600;КОО;НЯМА; ;23.381176000000000;42.637974999999997;4.000000000000000
4;0005;БЛ. 411 Ж.К. МЛАДОСТ-4;112-ТИ ПОЩЕНСКИ КЛОН;.305.; ; ;1;ЕИТ600;НОВ;НЯМА; ;23.381301000000001;42.637205000000002;5.000000000000000
7;0008;131-ВО СОУ;131-ВО ОУ;.113.213.N1.; ; ;2;ЕИТ400;КОО;НЯМА; ;23.380216000000001;42.634720999999999;8.000000000000000
8;0009;131-ВО СОУ;131-ВО ОУ;.113.213.N1.; ; ;2;ЕИТ400;КОО;НЯМА; ;23.380375999999998;42.636113000000002;9.000000000000000
9;0010;14-ТИ ДКЦ;14-ТА ПОЛИКЛИНИКА;.N4.; ;.1.6.;2;ЕИТ600;КОО;НЯМА; ;23.311298000000001;42.679676000000001;10.000000000000000
10;0011;14-ТИ ДКЦ;14-ТА ПОЛИКЛИНИКА;.N4.; ;.1.6.;2;ЕИТ400;КОО;НЯМА; ;23.310427000000001;42.678578000000002;11.000000000000000
13;0014;163-ТО ОУ;163-ТО ОУ ЧЕРНОРИЗЕЦ ХРАБЪР;.384.404.N4.;.4.; ;3;ЕИТ400;КОО;ЛАМАРИНЕН; ;23.404945999999999;42.645381999999998;14.000000000000000
14;0015;163-ТО ОУ;163-ТО ОУ ЧЕРНОРИЗЕЦ ХРАБЪР;.384.404.N4.;.4.; ;3;ЕИТ600;КОО;НЯМА; ;23.404775999999998;42.645225000000003;15.000000000000000
15;0016;20-ТИ ДКЦ;20-ТА ПОЛИКЛИНИКА;.73.204.N4.;.2.9.; ;4;ЕИТ600;КОО;НОВ100;НОВ;23.283655000000000;42.671697000000002;16.000000000000000
16;0017;20-ТИ ДКЦ;20-ТА ПОЛИКЛИНИКА;.73.204.N4.;.2.9.; ;4;ЕИТ600;КОО;НЯМА; ;23.282391000000001;42.670931000000003;17.000000000000000
17;0018;24-ТИ ДКЦ;24-ТА ПОЛИКЛИНИКА;.85.108.; ;.6.;3;ЕИТСТ;КОО;НИК БЕТА;НОВ;23.301058999999999;42.737026000000000;18.000000000000000
18;0019;24-ТИ ДКЦ;24-ТА ПОЛИКЛИНИКА;.85.108.; ;.6.;3;ЕИТСТ;КОО;НИК БЕТА;НОВ;23.301651000000000;42.736780000000003;19.000000000000000
19;0020;26-ТИ ДКЦ;26-ТА ПОЛИКЛИНИКАТА;.111.82.;.6.; ;3;ЕИТ400;КОО;НЯМА; ;23.254943000000001;42.725594999999998;20.000000000000000
20;0021;26-ТИ ДКЦ;26-ТА ПОЛИКЛИНИКАТА;.111.82.;.6.; ;3;ЕИТ600;КОО;НОВ100;НОВ;23.255585000000000;42.725104999999999;21.000000000000000
21;0022;ОНКОЛОГИЧЕН ДИСПАНСЕР;27-МА ПОЛИКЛИНИКА;.4.111.113.314.;.5.; ;5;ЕИТ600;НОВ;ЛАМАРИНЕН; ;23.370162000000001;42.654884000000003;22.000000000000000
22;0023;ОНКОЛОГИЧЕН ДИСПАНСЕР;27-МА ПОЛИКЛИНИКА;.111.113.314.;.5.; ;4;СТ;НОВ;НЯМА; ;23.369181999999999;42.654640000000001;23.000000000000000
23;0024;28-МИ ДКЦ;28-МА ПОЛИКЛИНИКА;.604.; ; ;1;ЕИТ600;НОВ;НИК БЕТА;НОВ;23.406099999999999;42.664817999999997;24.000000000000000
24;0025;28-МИ ДКЦ;28-МА ПОЛИКЛИНИКА;.10.14.88.; ; ;3;ЕИТ600;НОВ;ПЛАСТМАСОВ; ;23.406113000000001;42.666226000000002;25.000000000000000
27;0028;28-МИ ДКЦ;28-МА ПОЛИКЛИНИКА;.10.88.604.; ; ;3;ЕИТ600;НОВ;СТАР ТИП; ;23.407391000000001;42.665441000000001;28.000000000000000
28;0029;36-ТИ ПОЩЕНСКИ КЛОН;36-ТИ ПОЩЕНСКИ КЛОН;.108.; ; ;1;ЕИТ600;НОВ;ПЛАСТМАСОВ; ;23.253309999999999;42.720399999999998;29.000000000000000
