,Id,Sub_stop,Passengers,geometry,travel_time,travel_time_in_hours
0,0,Обеля,8688,POINT (23.27581440000123 42.74046100000002),16,0.27
1,0,Сливница,11314,POINT (23.26179430000117 42.72688560000002),13,0.22
2,0,Люлин,18212,POINT (23.25711967165256 42.7185974547972),12,0.2
3,0,Западен парк,11304,POINT (23.27081029781728 42.71101496392807),10,0.17
4,0,Вардар,11734,POINT (23.28484000000127 42.70594070000003),9,0.15
5,0,Константин Величков,16101,POINT (23.29763075569169 42.70201615066156),5,0.08
6,0,Опълченска,18029,POINT (23.31008471010394 42.69991122758773),3,0.05
7,0,Сердика,26739,POINT (23.32175743534937 42.69774478671712),0,0
8,0,Софийски университет,27127,POINT (23.33493530000147 42.69195809999999),0,0
9,0,Васил Левски,12862,POINT (23.33236470016324 42.68620185000955),0,0
10,0,Жолио Кюри,8867,POINT (23.35107250000156 42.67119850000002),3,0.05
11,0,Г.М. Димитров,21304,POINT (23.35720521516184 42.66321568599543),5,0.08
12,0,Мусагеница,4993,POINT (23.36426345149012 42.65870666461853),7,0.12
13,0,Младост 1,10927,POINT (23.37222952379452 42.6537702789739),10,0.17
14,0,Младост 3,4817,POINT (23.3837697687153 42.64653518608529),12,0.2
15,0,Цариградско шосе,9011,POINT (23.39357260000175 42.649556),14,0.23
16,0,Дружба,4672,POINT (23.39439839261235 42.65838823653095),16,0.27
17,0,Искърско шосе,2892,POINT (23.40215205307093 42.66811810909864),19,0.32
18,0,Софийска Света гора,732,POINT (23.41054011304191 42.67671827694088),20,0.33
19,0,Летище София,2329,POINT (23.41615300000187 42.68850720000001),23,0.38
20,0,Витоша,17957,POINT (23.31641270000141 42.65842110000003),7,0.12
21,0,Джеймс Баучер,9864,POINT (23.32054724275104 42.67093222499535),5,0.08
22,0,Европейски съюз,10842,POINT (23.32165731219868 42.67852019006361),3,0.05
23,0,НДК,15465,POINT (23.31916720133535 42.68724150008524),0,0
24,0,Лъвов мост,7286,POINT (23.32391047890296 42.70512781780405),2,0.03
25,0,Централна гара,5766,POINT (23.32131050000139 42.71050769999999),3,0.05
26,0,Мария Луиза,3775,POINT (23.31376344109124 42.71379334001071),5,0.08
27,0,Хан Кубрат,5443,POINT (23.30643361711475 42.7229481082598),7,0.12
28,0,Надежда,6855,POINT (23.30087445428344 42.7280237838588),9,0.15
29,0,Бели Дунав,9487,POINT (23.29289304722604 42.7353670661807),11,0.18
30,0,Александър Малинов,4277,POINT (23.37678759839688 42.64790650025313),12,0.2
31,0,Александър Теодоров Балан,5931,POINT (23.37301950000165 42.64133970000001),14,0.23
32,0,Бизнес парк,8934,POINT (23.37320720000166 42.62870430000001),16,0.27
33,0,Ломско шосе,1559,POINT (23.28729640000126 42.7404865),13,0.22
34,0,Сердика 2,11815,POINT (23.32193270000145 42.698365),0,0
